rank,category,racename,race_id,rider_name,rider_id,points,jpp,date,ploegleider
3,1.1,Figueira Champions Classic,41033,VAN DEN BERG Marijn,27674,0.1,0,2023-02-12,-
1,NC5,National Championships Ecuador (Tulcan) R.R.,40924,CARAPAZ MONTENEGRO Richard Antonio,21342,1,0,2023-02-12,Wijnand
1,NC5,National Championships South Africa (Oudtshoorn) R.R.,40926,STEDMAN Travis,32107,1,0,2023-02-12,-
1,NC5,National Championships New Zealand (Tokoroa) R.R.,40922,ORAM James,19829,1,0,2023-02-12,-
1,NC5,National Championships Uruguay (Paysandu) R.R. (prov.),40928,RODRIGUEZ RAMOS Diego Leonel,29716,1,0,2023-02-12,-
1,2.PSs,"Tour of Oman, Stage 1 : Al Rustaq Fort - Muscat (prov.)",40977,MERLIER Tim,17988,0.3,0,2023-02-11,Wijnand
1,1.1,Vuelta a Murcia,40939,TURNER Ben,27923,2,0,2023-02-11,Arjan
2,1.1,Vuelta a Murcia,40939,CLARKE Simon,3366,0.3,0,2023-02-11,PB
3,1.1,Vuelta a Murcia,40939,MEEUS Jordi,26421,0.1,0,2023-02-11,Vel
1,NCT5,National Championships Ecuador (Tulcan) I.T.T.,40923,CAICEDO CEPEDA Jonathan Klever,22631,0.5,0,2023-02-11,-
1,NCT5,National Championships Uruguay (Paysandu) I.T.T.,40927,FAGUNDEZ LIMA Eric Antonio,28445,0.5,0,2023-02-11,-
1,1.1,Muscat Classic,40911,BIERMANS Jenthe,22010,2,0,2023-02-10,-
2,1.1,Muscat Classic,40911,WARLOP Jordi,24239,0.3,0,2023-02-10,-
3,1.1,Muscat Classic,40911,VENDRAME Andrea,22170,0.1,0,2023-02-10,-
1,NCT5,National Championships New Zealand (Tokoroa) I.T.T.,40921,CURRIE Logan,30604,0.5,0,2023-02-10,-
1,NCT5,National Championships South Africa (Oudtshoorn) I.T.T.,40925,DE BOD Stefan,23888,0.5,0,2023-02-10,-
1,CCT2,African Cycling Championships (Accra) I.T.T.,41031,KAGIMU Charles,24714,0.5,0,2023-02-09,-
1,2.PS,"Volta a la Comunitat Valenciana, General classification",40959,COSTA Rui Alberto Faria,6807,4,50,2023-02-05,-
2,2.PS,"Volta a la Comunitat Valenciana, General classification",40959,CICCONE Giulio,21812,1,35,2023-02-05,Nicky
3,2.PS,"Volta a la Comunitat Valenciana, General classification",40959,GEOGHEGAN HART Tao,22018,0.5,25,2023-02-05,Paul
4,2.PS,"Volta a la Comunitat Valenciana, General classification",40959,BILBAO LOPEZ DE ARMENTIA Pello,17881,0,20,2023-02-05,Jan
5,2.PS,"Volta a la Comunitat Valenciana, General classification",40959,VLASOV Aleksandr,24316,0,18,2023-02-05,Harry
6,2.PS,"Volta a la Comunitat Valenciana, General classification",40959,GLOAG Thomas,31449,0,16,2023-02-05,Frank
7,2.PS,"Volta a la Comunitat Valenciana, General classification",40959,LANDA MEANA Mikel,14319,0,14,2023-02-05,Harry
8,2.PS,"Volta a la Comunitat Valenciana, General classification",40959,MCNULTY Brandon,26508,0,12,2023-02-05,Kees
9,2.PS,"Volta a la Comunitat Valenciana, General classification",40959,ARANBURU DEBA Alexander,23940,0,10,2023-02-05,Jan
10,2.PS,"Volta a la Comunitat Valenciana, General classification",40959,RODRIGUEZ CANO Carlos,30836,0,8,2023-02-05,Roy
1,2.PSs,"Volta a la Comunitat Valenciana, Stage 5 : Paterna - Valencia",40958,COSTA Rui Alberto Faria,6807,0.3,0,2023-02-05,-
1,2.1,"Etoile de Bessèges / Tour du Gard, General classification",40953,POWLESS Neilson,24902,2,0,2023-02-05,Harry
2,2.1,"Etoile de Bessèges / Tour du Gard, General classification",40953,SKJELMOSE JENSEN Mattias,30166,0.3,0,2023-02-05,Kaspar
3,2.1,"Etoile de Bessèges / Tour du Gard, General classification",40953,LATOUR Pierre,20156,0.1,0,2023-02-05,Kaspar
1,2.1s,"Etoile de Bessèges / Tour du Gard, Stage 5 : Alès - Alès I.T.T.",40952,PEDERSEN Mads,21992,0.2,0,2023-02-05,Harry
1,1.WT3,National Championships Colombia (Bucaramanga) R.R.,40920,CHAVES RUBIO Jhoan Esteban,16941,5,50,2023-02-05,Jan
2,1.WT3,National Championships Colombia (Bucaramanga) R.R.,40920,MARTINEZ POVEDA Daniel Felipe,23503,2,35,2023-02-05,Bram
